
Player,Score,Turns to Win,Dice Values,Date
Pawel,28,8,"[[4], [2], [5], [4], [3], [5], [4], [1]]",2024-02-11 17:34:09.086014
Nelson,34,8,"[[4], [3], [5], [4], [4], [6], [2], [6]]",2024-02-11 17:34:14.076087
Player,Score,Turns to Win,Dice Values,Date
Pawel,25,8,"[[2], [2], [3], [3], [6], [3], [3], [3]]",2024-02-11 17:43:03.772425
Alicia,14,8,"[[2], [1], [1], [2], [4], [2], [1], [1]]",2024-02-11 17:43:08.791576
Elly,29,8,"[[2], [5], [5], [4], [4], [1], [2], [6]]",2024-02-11 17:43:12.530941
Player,Score,Turns to Win,Dice Values,Date
Nelson,22,8,"[[2], [5], [5], [1], [3], [1], [3], [2]]",2024-02-11 17:45:32.409918
Elyy,32,8,"[[4], [3], [6], [5], [2], [4], [2], [6]]",2024-02-11 17:45:36.138198
Player,Score,Turns to Win,Dice Values,Date
Pawel,29,6,"[[5], [6], [5], [4], [4], [5]]",2024-02-11 18:24:36.902711
Nelson,14,5,"[[5], [1], [1], [3], [4]]",2024-02-11 18:24:41.887137
Elly,23,5,"[[2], [5], [5], [5], [6]]",2024-02-11 18:24:45.640100
Player,Score,Turns to Win,Dice Values,Date
Pawel,21,6,"[[5], [5], [1], [4], [4], [2]]",2024-02-11 18:56:57.931241
Nelson,30,6,"[[6], [1], [6], [6], [6], [5]]",2024-02-11 18:57:02.902024
Alicia,15,5,"[[5], [3], [1], [5], [1]]",2024-02-11 18:57:07.910093
Elly,17,5,"[[1], [5], [6], [4], [1]]",2024-02-11 18:57:11.655486
Stella,23,5,"[[5], [6], [4], [6], [2]]",2024-02-11 18:57:16.672350
Player,Score,Turns to Win,Dice Values,Date
Nelson,20,8,"[[2], [1], [2], [6], [4], [1], [3], [1]]",2024-02-11 19:01:50.422019
Biggles,33,8,"[[5], [3], [2], [6], [5], [4], [2], [6]]",2024-02-11 19:01:56.055535
Player,Score,Turns to Win,Dice Values,Date
Nelson,22,7,"[[4], [1], [3], [2], [6], [3], [3]]",2024-02-11 19:16:57.780621
Biggles,33,7,"[[2], [6], [6], [5], [4], [5], [5]]",2024-02-11 19:17:04.187289
Player,Score,Turns to Win,Dice Values,Date
Biggles,30,6,"[[5], [6], [5], [5], [6], [3]]",2024-02-11 19:23:04.420618
Nelson,16,5,"[[5], [4], [4], [1], [2]]",2024-02-11 19:23:08.483352
Player,Score,Turns to Win,Dice Values,Date
Pawel,22,8,"[[4], [1], [4], [1], [5], [2], [4], [1]]",2024-02-11 19:57:42.112106
Nelson,31,8,"[[5], [1], [2], [6], [3], [5], [3], [6]]",2024-02-11 19:57:48.195259
Player,Score,Turns to Win,Dice Values,Date
Pawel,24,8,"[[4], [1], [1], [2], [3], [5], [5], [3]]",2024-02-11 20:02:51.609817
Nelson,30,8,"[[1], [6], [3], [4], [5], [4], [5], [2]]",2024-02-11 20:02:56.560587
Player,Score,Turns to Win,Dice Values,Date
Nelson ,30,8,"[[6], [2], [2], [3], [4], [5], [6], [2]]",2024-02-11 20:08:03.397330
Biggles,21,7,"[[3], [4], [1], [5], [1], [5], [2]]",2024-02-11 20:08:06.396626
Player,Score,Turns to Win,Dice Values,Date
Pawel,18,6,"[[3], [4], [2], [3], [1], [5]]",2024-02-11 20:11:30.090597
Nelson,23,6,"[[2], [6], [6], [2], [5], [2]]",2024-02-11 20:11:32.877220
Biggles,24,6,"[[5], [2], [6], [6], [2], [3]]",2024-02-11 20:11:37.053071
Alicia,30,6,"[[4], [6], [6], [4], [6], [4]]",2024-02-11 20:11:40.684012
Player,Score,Turns to Win,Dice Values,Date
Alicia,29,6,"[[6], [4], [3], [6], [4], [6]]",2024-02-11 20:21:22.096965
Pawel,23,5,"[[6], [5], [4], [5], [3]]",2024-02-11 20:21:25.681321
Player,Score,Turns to Win,Dice Values,Date
Alicia,29,8,"[[3], [2], [5], [1], [3], [5], [6], [4]]",2024-02-11 20:46:15.139748
Stella,28,7,"[[3], [6], [2], [3], [4], [6], [4]]",2024-02-11 20:46:17.317518
Elly,22,7,"[[2], [4], [2], [4], [3], [5], [2]]",2024-02-11 20:46:19.372658
Player,Score,Turns to Win,Dice Values,Date
s,24,9,"[[3], [4], [6], [1], [1], [2], [4], [1], [2]]",2024-02-11 21:55:17.069078
p,32,9,"[[5], [4], [5], [2], [4], [5], [1], [1], [5]]",2024-02-11 21:55:20.043397
Player,Score,Turns to Win,Dice Values,Date
Pappa,27,8,"[[5], [4], [1], [5], [1], [3], [4], [4]]",2024-02-12 01:02:38.529769
Mamma,30,8,"[[1], [3], [5], [4], [4], [5], [2], [6]]",2024-02-12 01:02:41.996382
Player,Score,Turns to Win,Dice Values,Date
Bill,31,8,"[[5], [6], [3], [4], [5], [2], [3], [3]]",2024-02-12 01:54:48.825555
Bull,27,7,"[[4], [4], [2], [6], [4], [2], [5]]",2024-02-12 01:54:51.840187
Player,Score,Turns to Win,Dice Values,Date
bolle,29,7,"[[4], [1], [5], [5], [3], [5], [6]]",2024-11-26 16:37:04.659141
julle,20,6,"[[5], [1], [2], [5], [1], [6]]",2024-11-26 16:37:09.456543
